Name: RAL Design	
Description: RAL design colors	
109  188  133	RAL 150 70 40
87  191  123	RAL 150 70 50
184  203  189	RAL 150 80 10
170  208  179	RAL 150 80 20
154  212  169	RAL 150 80 30
136  216  159	RAL 150 80 40
219  229  222	RAL 150 90 05
212  231  216	RAL 150 90 10
26  54  40	RAL 160 20 15
14  55  38	RAL 160 20 20
64  73  68	RAL 160 30 05
56  75  65	RAL 160 30 10
48  77  62	RAL 160 30 15
38  78  59	RAL 160 30 20
26  80  56	RAL 160 30 25
5  82  53	RAL 160 30 30
0  83  51	RAL 160 30 35
0  84  49	RAL 160 30 38
87  97  91	RAL 160 40 05
79  99  88	RAL 160 40 10
71  101  85	RAL 160 40 15
62  103  82	RAL 160 40 20
51  105  79	RAL 160 40 25
38  106  76	RAL 160 40 30
19  108  73	RAL 160 40 35
0  109  70	RAL 160 40 40
0  111  67	RAL 160 40 45
0  112  64	RAL 160 40 50
0  113  61	RAL 160 40 55
111  121  116	RAL 160 50 05
104  124  113	RAL 160 50 10
95  126  110	RAL 160 50 15
86  128  107	RAL 160 50 20
76  130  103	RAL 160 50 25
65  132  100	RAL 160 50 30
52  133  97	RAL 160 50 35
33  135  94	RAL 160 50 40
0  137  91	RAL 160 50 45
0  138  87	RAL 160 50 50
0  140  84	RAL 160 50 55
0  141  81	RAL 160 50 60
137  147  141	RAL 160 60 05
129  150  138	RAL 160 60 10
120  152  135	RAL 160 60 15
111  154  132	RAL 160 60 20
102  156  128	RAL 160 60 25
91  158  125	RAL 160 60 30
79  160  122	RAL 160 60 35
65  162  119	RAL 160 60 40
47  164  115	RAL 160 60 45
14  165  112	RAL 160 60 50
0  167  109	RAL 160 60 55
0  168  107	RAL 160 60 58
163  174  168	RAL 160 70 05
155  176  164	RAL 160 70 10
146  179  161	RAL 160 70 15
137  181  158	RAL 160 70 20
128  183  154	RAL 160 70 25
117  185  151	RAL 160 70 30
106  187  148	RAL 160 70 35
94  189  144	RAL 160 70 40
79  191  141	RAL 160 70 45
65  193  138	RAL 160 70 49
190  201  195	RAL 160 80 05
182  204  192	RAL 160 80 10
173  206  188	RAL 160 80 15
164  209  185	RAL 160 80 20
154  211  181	RAL 160 80 25
144  213  178	RAL 160 80 30
218  229  223	RAL 160 90 05
209  232  219	RAL 160 90 10
32  52  45	RAL 170 20 10
5  56  43	RAL 170 20 20
0  57  41	RAL 170 20 25
45  77  66	RAL 170 30 15
32  79  65	RAL 170 30 20
14  81  63	RAL 170 30 25
0  82  61	RAL 170 30 30
0  84  60	RAL 170 30 35
0  85  58	RAL 170 30 40
77  99  91	RAL 170 40 10
68  101  89	RAL 170 40 15
57  103  88	RAL 170 40 20
43  105  86	RAL 170 40 25
24  107  85	RAL 170 40 30
0  108  83	RAL 170 40 35
0  110  81	RAL 170 40 40
0  111  80	RAL 170 40 45
0  113  78	RAL 170 40 50
102  124  116	RAL 170 50 10
92  126  114	RAL 170 50 15
81  128  112	RAL 170 50 20
69  130  111	RAL 170 50 25
55  132  109	RAL 170 50 30
35  134  107	RAL 170 50 35
0  136  106	RAL 170 50 40
0  138  104	RAL 170 50 45
0  139  102	RAL 170 50 50
0  141  101	RAL 170 50 55
127  150  141	RAL 170 60 10
117  152  139	RAL 170 60 15
107  155  138	RAL 170 60 20
95  157  136	RAL 170 60 25
82  159  134	RAL 170 60 30
67  161  132	RAL 170 60 35
46  163  131	RAL 170 60 40
0  165  129	RAL 170 60 45
0  166  127	RAL 170 60 50
153  177  167	RAL 170 70 10
143  179  166	RAL 170 70 15
133  181  164	RAL 170 70 20
121  184  162	RAL 170 70 25
109  186  160	RAL 170 70 30
95  188  159	RAL 170 70 35
79  190  157	RAL 170 70 40
180  204  195	RAL 170 80 10
170  207  193	RAL 170 80 15
159  209  191	RAL 170 80 20
148  212  189	RAL 170 80 25
217  229  224	RAL 170 90 05
207  232  223	RAL 170 90 10
223  235  230	RAL 170 92 05
40  51  48	RAL 180 20 05
18  54  48	RAL 180 20 15
0  56  48	RAL 180 20 20
62  73  70	RAL 180 30 05
53  75  70	RAL 180 30 10
